Location,Cleaned_Location,Coordinates
"2509 S 8TH ST,MKE","2509 S 8TH ST, MILWAUKEE, WI","{'lat': 42.999079, 'lng': -87.921429}"
"6200 S 13TH ST,MKE","6200 S 13TH ST, MILWAUKEE, WI","{'lat': 42.931592, 'lng': -87.928867}"
"2741 W FOND DU LAC AV,MKE","2741 W FOND DU LAC AV, MILWAUKEE, WI","{'lat': 43.068043, 'lng': -87.948371}"
"6615 W VILLARD AV,MKE","6615 W VILLARD AV, MILWAUKEE, WI","{'lat': 43.111829, 'lng': -87.994069}"
"520 E WELLS ST,MKE","520 E WELLS ST, MILWAUKEE, WI","{'lat': 43.041427, 'lng': -87.905282}"
"6215 W WARNIMONT AV,MKE","6215 W WARNIMONT AV, MILWAUKEE, WI","{'lat': 42.977615, 'lng': -87.991211}"
"4204 W FOND DU LAC AV,MKE","4204 W FOND DU LAC AV, MILWAUKEE, WI","{'lat': 43.082056, 'lng': -87.965635}"
"2921 N 50TH ST,MKE","2921 N 50TH ST, MILWAUKEE, WI","{'lat': 43.07209, 'lng': -87.976386}"
"6444 W BURDICK AV,MKE","6444 W BURDICK AV, MILWAUKEE, WI","{'lat': 42.985735, 'lng': -87.99319}"
"3066 N 39TH ST,MKE","3066 N 39TH ST, MILWAUKEE, WI","{'lat': 43.074814, 'lng': -87.961673}"
"7017 N 43RD ST,MKE","7017 N 43RD ST, MILWAUKEE, WI","{'lat': 43.145372, 'lng': -87.965891}"
"1756 N MARTIN L KING JR DR,MKE","1756 N DOCTOR M.L.K. DR, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"930 N 27TH ST,MKE","930 N 27TH ST, MILWAUKEE, WI","{'lat': 43.042424, 'lng': -87.947223}"
"3235 S 8TH ST,MKE","3235 S 8TH ST, MILWAUKEE, WI","{'lat': 42.98567, 'lng': -87.921829}"
"318 N 30TH ST,MKE","318 N 30TH ST, MILWAUKEE, WI","{'lat': 43.034111, 'lng': -87.951165}"
"2426 W HIGHLAND AV,MKE","2426 W HIGHLAND AV, MILWAUKEE, WI","{'lat': 43.044676, 'lng': -87.943674}"
"W ROOSEVELT DR / N 27TH ST,MKE","W ROOSEVELT DR & N 27TH ST, MILWAUKEE, WI","{'lat': 43.09516, 'lng': -87.946872}"
"3100 W SCOTT ST,MKE","3100 W SCOTT ST, MILWAUKEE, WI","{'lat': 43.019184, 'lng': -87.952754}"
"W FOND DU LAC AV / W CAPITOL DR,MKE","W FOND DU LAC AVE & W CAPITOL DR, MILWAUKEE, WI","{'lat': 43.089869, 'lng': -87.976193}"
"N 91ST ST / W DEAN RD,MKE","N 91ST ST & W DEAN RD, MILWAUKEE, WI","{'lat': 43.170308, 'lng': -88.02445}"
"2917 W BROWN ST,MKE","2917 W BROWN ST, MILWAUKEE, WI","{'lat': 43.056144, 'lng': -87.950435}"
"2532 W NATIONAL AV,MKE","2532 W NATIONAL AV, MILWAUKEE, WI","{'lat': 43.022476, 'lng': -87.945427}"
"3119 N 44TH ST,MKE","3119 N 44TH ST, MILWAUKEE, WI","{'lat': 43.075651, 'lng': -87.968911}"
"1732 S 7TH ST,MKE","1732 S 7TH ST, MILWAUKEE, WI","{'lat': 43.011511, 'lng': -87.919419}"
"4442 N 72ND ST,MKE","4442 N 72ND ST, MILWAUKEE, WI","{'lat': 43.09822, 'lng': -88.001475}"
"905 S 23RD ST,MKE","905 S 23RD ST, MILWAUKEE, WI","{'lat': 43.021623, 'lng': -87.942563}"
"2126 S 24TH ST,MKE","2126 S 24TH ST, MILWAUKEE, WI","{'lat': 43.006037, 'lng': -87.943344}"
"N 18TH ST / W CLARKE ST,MKE","N 18TH ST & W CLARKE ST, MILWAUKEE, WI","{'lat': 43.065926, 'lng': -87.935036}"
"2577 W VICTORY LA,MKE","2577 W VICTORY LA, MILWAUKEE, WI","{'lat': 43.10124, 'lng': -87.94611}"
3100 N 62ND ST,"3100 N 62ND ST, MILWAUKEE, WI","{'lat': 42.995764, 'lng': -87.991312}"
"N TEUTONIA AV / W FAIRMOUNT AV,MKE","N TEUTONIA AVE & W FAIRMOUNT AV, MILWAUKEE, WI","{'lat': 43.108145, 'lng': -87.948461}"
"S 14TH ST / W EUCLID AV,MKE","S 14TH ST & W EUCLID AV, MILWAUKEE, WI","{'lat': 42.986511, 'lng': -87.930189}"
"2910 W CAPITOL DR,MKE","2910 W CAPITOL DR, MILWAUKEE, WI","{'lat': 43.090281, 'lng': -87.949862}"
"N 4TH ST / W MICHIGAN ST,MKE","N 4TH ST & W MICHIGAN ST, MILWAUKEE, WI","{'lat': 42.908626, 'lng': -87.849759}"
"2217 W LINCOLN CREEK PK,MKE","2217 W LINCOLN CREEK PK, MILWAUKEE, WI","{'lat': 43.003903, 'lng': -87.890936}"
"8835 N SWAN RD,MKE","8835 N SWAN RD, MILWAUKEE, WI","{'lat': 43.178524, 'lng': -88.024815}"
"829 S 22ND ST,MKE","829 S 22ND ST, MILWAUKEE, WI","{'lat': 43.021819, 'lng': -87.941161}"
"4037 N 60TH ST,MKE","4037 N 60TH ST, MILWAUKEE, WI","{'lat': 43.090888, 'lng': -87.987251}"
"3276 N 30TH ST,MKE","3276 N 30TH ST, MILWAUKEE, WI","{'lat': 43.07869, 'lng': -87.950485}"
D7 MEET W/ SQD 7113,"D7 MEET W& SQD 7113, MILWAUKEE, WI","{'lat': 40.735657, 'lng': -74.172367}"
"4224 W RUBY AV,MKE","4224 W RUBY AV, MILWAUKEE, WI","{'lat': 43.099485, 'lng': -87.965968}"
"3330 W BECHER ST,MKE","3330 W BECHER ST, MILWAUKEE, WI","{'lat': 43.006773, 'lng': -87.956224}"
"N FRATNEY ST / E LOCUST ST,MKE","N FRATNEY ST & E LOCUST ST, MILWAUKEE, WI","{'lat': 43.071116, 'lng': -87.901539}"
8636 W APPLETON,"8636 W APPLETON, MILWAUKEE, WI","{'lat': 43.108507, 'lng': -88.019825}"
"651 W RESERVOIR AV,MKE","651 W RESERVOIR AV, MILWAUKEE, WI","{'lat': 43.05441, 'lng': -87.919286}"
"2830 N 34TH ST,MKE","2830 N 34TH ST, MILWAUKEE, WI","{'lat': 43.070413, 'lng': -87.955805}"
"6300 N 76TH ST,MKE","6300 N 76TH ST, MILWAUKEE, WI","{'lat': 43.132542, 'lng': -88.004207}"
"1315 S 34TH ST,MKE","1315 S 34TH ST, MILWAUKEE, WI","{'lat': 43.017372, 'lng': -87.956663}"
"4743 N 68TH ST,MKE","4743 N 68TH ST, MILWAUKEE, WI","{'lat': 43.103932, 'lng': -87.997085}"
"3052 N 6TH ST,MKE","3052 N 6TH ST, MILWAUKEE, WI","{'lat': 43.074143, 'lng': -87.917859}"
"1746 S 31ST ST,MKE","1746 S 31ST ST, MILWAUKEE, WI","{'lat': 43.011345, 'lng': -87.952335}"
"525 S LAYTON BL,MKE","525 S LAYTBL, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"1329 W LOCUST ST,MKE","1329 W LOCUST ST, MILWAUKEE, WI","{'lat': 43.070886, 'lng': -87.92833}"
"10739 W HAMPTON AV,MKE","10739 W HAMPTAV, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"2306 S 11TH ST,MKE","2306 S 11TH ST, MILWAUKEE, WI","{'lat': 43.00258, 'lng': -87.925796}"
"2844 S 15TH ST,MKE","2844 S 15TH ST, MILWAUKEE, WI","{'lat': 42.99293, 'lng': -87.931239}"
"5700 W CAPITOL DR,MKE","5700 W CAPITOL DR, MILWAUKEE, WI","{'lat': 43.091323, 'lng': -87.984621}"
"1310 N 35TH ST,MKE","1310 N 35TH ST, MILWAUKEE, WI","{'lat': 43.047332, 'lng': -87.957502}"
"2432 N 7TH ST,MKE","2432 N 7TH ST, MILWAUKEE, WI","{'lat': 43.062833, 'lng': -87.919436}"
"N 24TH ST / W HADLEY ST,MKE","N 24TH ST & W HADLEY ST, MILWAUKEE, WI","{'lat': 43.069677, 'lng': -87.942425}"
"3100-BLK N 27TH ST,MKE","3100- N 27TH ST, MILWAUKEE, WI","{'lat': 43.075079, 'lng': -87.947293}"
"3280 N DOWNER AV,MKE","3280 N DOWNER AV, MILWAUKEE, WI","{'lat': 43.077354, 'lng': -87.877402}"
"4800 N HOPKINS ST,MKE","4800 N HOPKINS ST, MILWAUKEE, WI","{'lat': 43.105019, 'lng': -87.959346}"
"1004 W NATIONAL AV,MKE","1004 W NATIONAL AV, MILWAUKEE, WI","{'lat': 43.023518, 'lng': -87.924066}"
"2359 N 44TH ST,MKE","2359 N 44TH ST, MILWAUKEE, WI","{'lat': 43.061921, 'lng': -87.969114}"
"N 78TH ST / W CENTER ST,MKE","N 78TH ST & W CENTER ST, MILWAUKEE, WI","{'lat': 43.068009, 'lng': -88.009931}"
"4051 N 19TH ST,MKE","4051 N 19TH ST, MILWAUKEE, WI","{'lat': 43.090771, 'lng': -87.934688}"
3500 S 97TH ST,"3500 S 97TH ST, MILWAUKEE, WI","{'lat': 42.980419, 'lng': -88.033743}"
"1517 S 24TH ST,MKE","1517 S 24TH ST, MILWAUKEE, WI","{'lat': 43.015528, 'lng': -87.943844}"
"2945 N MOTHER SIMPSON WA,MKE","2945 N MOTHER SIMPSWA, MILWAUKEE, WI","{'lat': 43.072283, 'lng': -87.924209}"
"N 5TH ST / W MICHIGAN ST,MKE","N 5TH ST & W MICHIGAN ST, MILWAUKEE, WI","{'lat': 43.037416, 'lng': -87.917461}"
"400 N WATER ST,MKE","400 N WATER ST, MILWAUKEE, WI","{'lat': 43.035231, 'lng': -87.90802}"
"3240 S 26TH ST,MKE","3240 S 26TH ST, MILWAUKEE, WI","{'lat': 42.985705, 'lng': -87.946546}"
"2638 N 22ND ST,MKE","2638 N 22ND ST, MILWAUKEE, WI","{'lat': 43.066851, 'lng': -87.939551}"
"9014 W APPLETON AV,MKE","9014 W APPLETAV, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"3448 N PIERCE ST,MKE","3448 N PIERCE ST, MILWAUKEE, WI","{'lat': 43.080839, 'lng': -87.902106}"
"3534 S 19TH ST,MKE","3534 S 19TH ST, MILWAUKEE, WI","{'lat': 42.980283, 'lng': -87.93703}"
"2643 N 49TH ST,MKE","2643 N 49TH ST, MILWAUKEE, WI","{'lat': 43.067024, 'lng': -87.975223}"
"N 41ST ST / W RUBY AV,MKE","N 41ST ST & W RUBY AV, MILWAUKEE, WI","{'lat': 43.09895, 'lng': -87.963974}"
"308 E WISCONSIN AV,MKE","308 E WISCONSIN AV, MILWAUKEE, WI","{'lat': 43.038999, 'lng': -87.907363}"
DINEEN PARK,"DINEEN PARK, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
4773 N 50TH ST,"4773 N 50TH ST, MILWAUKEE, WI","{'lat': 43.104076, 'lng': -87.975801}"
"250 E WARD ST,MKE","250 E WARD ST, MILWAUKEE, WI","{'lat': 43.004313, 'lng': -87.907721}"
"2768 S LENOX ST,MKE","2768 S LENOX ST, MILWAUKEE, WI","{'lat': 42.994109, 'lng': -87.897623}"
"409 S 94TH PL,MKE","409 S 94TH PL, MILWAUKEE, WI","{'lat': 43.027194, 'lng': -88.030501}"
"2300 W CAPITOL DR,MKE","2300 W CAPITOL DR, MILWAUKEE, WI","{'lat': 43.089526, 'lng': -87.940912}"
"2517 S 10TH ST,MKE","2517 S 10TH ST, MILWAUKEE, WI","{'lat': 42.998735, 'lng': -87.925166}"
"500 E POTTER AV,MKE","500 E POTTER AV, MILWAUKEE, WI","{'lat': 42.996059, 'lng': -87.902877}"
"1618 W KEEFE AV,MKE","1618 W KEEFE AV, MILWAUKEE, WI","{'lat': 43.082659, 'lng': -87.931578}"
"2727 W NORTH AV,MKE","2727 W NORTH AV, MILWAUKEE, WI","{'lat': 43.060066, 'lng': -87.948092}"
"4348 N 91ST ST,MKE","4348 N 91ST ST, MILWAUKEE, WI","{'lat': 43.096197, 'lng': -88.025932}"
"E OGDEN AV / N PROSPECT AV,MKE","E OGDEN AVE & N PROSPECT AV, MILWAUKEE, WI","{'lat': 43.048077, 'lng': -87.896962}"
"4568 S 20TH ST,MKE","4568 S 20TH ST, MILWAUKEE, WI","{'lat': 42.96099, 'lng': -87.937207}"
"S 17TH ST / W WASHINGTON ST,MKE","S 17TH ST & W WASHINGTST, MILWAUKEE, WI","{'lat': 43.020147, 'lng': -87.934285}"
"2459 N 34TH ST,MKE","2459 N 34TH ST, MILWAUKEE, WI","{'lat': 43.063699, 'lng': -87.956548}"
"4141 N 100TH ST,MKE","4141 N 100TH ST, MILWAUKEE, WI","{'lat': 43.092122, 'lng': -88.037843}"
"2427 W NATIONAL AV,MKE","2427 W NATIONAL AV, MILWAUKEE, WI","{'lat': 43.022075, 'lng': -87.944431}"
"N 8TH ST / W WISCONSIN AV,MKE","N 8TH ST & W WISCONSIN AV, MILWAUKEE, WI","{'lat': 43.038813, 'lng': -87.921689}"
"358 W LAYTON AV,MKE","358 W LAYTAV, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"4020 W NORTH AV,MKE","4020 W NORTH AV, MILWAUKEE, WI","{'lat': 43.060815, 'lng': -87.964216}"
"400 E ST PAUL AV,MKE","400 E ST PAUL AV, MILWAUKEE, WI","{'lat': 43.035269, 'lng': -87.906107}"
"9657 W BEATRICE ST,MKE","9657 W BEATRICE ST, MILWAUKEE, WI","{'lat': 43.178617, 'lng': -88.032336}"
"2338 N 45TH ST,MKE","2338 N 45TH ST, MILWAUKEE, WI","{'lat': 43.061508, 'lng': -87.969625}"
"5226 W HAMPTON AV,MKE","5226 W HAMPTAV, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"1332 W WASHINGTON ST,MKE","1332 W WASHINGTST, MILWAUKEE, WI","{'lat': 43.020425, 'lng': -87.928859}"
"3300-BLK N 27TH ST,MKE","3300- N 27TH ST, MILWAUKEE, WI","{'lat': 43.07903, 'lng': -87.947216}"
"1227 N 25TH ST,MKE","1227 N 25TH ST, MILWAUKEE, WI","{'lat': 43.046515, 'lng': -87.945468}"
KOPS PRK,"KOPS PRK, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"2467 S 44TH ST,MKE","2467 S 44TH ST, MILWAUKEE, WI","{'lat': 42.99977, 'lng': -87.969682}"
"N 32ND ST / W GALENA ST,MKE","N 32ND ST & W GALENA ST, MILWAUKEE, WI","{'lat': 43.051465, 'lng': -87.954093}"
"5500 S HOWELL AV,MKE","5500 S HOWELL AV, MILWAUKEE, WI","{'lat': 42.946887, 'lng': -87.897159}"
"2300 N 44TH ST,MKE","2300 N 44TH ST, MILWAUKEE, WI","{'lat': 43.060777, 'lng': -87.968465}"
"N 51ST BL / W VILLARD AV,MKE","N 51ST BL & W VILLARD AV, MILWAUKEE, WI","{'lat': 43.11199, 'lng': -87.976318}"
"W LINCOLN CREEK DR / N 58TH ST,MKE","W LINCOLN CREEK DR & N 58TH ST, MILWAUKEE, WI","{'lat': 43.099201, 'lng': -87.985377}"
"N 6TH ST / W WISCONSIN AV,MKE","N 6TH ST & W WISCONSIN AV, MILWAUKEE, WI","{'lat': 43.062117, 'lng': -87.91848}"
"1208 N 46TH ST,MKE","1208 N 46TH ST, MILWAUKEE, WI","{'lat': 43.046184, 'lng': -87.970955}"
"7835 N GREEN BAY RD,MKE","7835 N GREEN BAY RD, MILWAUKEE, WI","{'lat': 43.159028, 'lng': -87.950154}"
"1672 W KEEFE AV,MKE","1672 W KEEFE AV, MILWAUKEE, WI","{'lat': 43.081909, 'lng': -87.931725}"
"411 E MASON ST,MKE","411 E MASST, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"3232 W SILVER SPRING DR,MKE","3232 W SILVER SPRING DR, MILWAUKEE, WI","{'lat': 43.119644, 'lng': -87.95378}"
"3737 S 27TH ST,MKE","3737 S 27TH ST, MILWAUKEE, WI","{'lat': 42.978827, 'lng': -87.948991}"
"1901 N 6TH ST,MKE","1901 N 6TH ST, MILWAUKEE, WI","{'lat': 43.055222, 'lng': -87.919108}"
"5200 N 62ND ST,MKE","5200 N 62ND ST, MILWAUKEE, WI","{'lat': 43.111915, 'lng': -87.98866}"
"3139 W ST PAUL AV,MKE","3139 W ST PAUL AV, MILWAUKEE, WI","{'lat': 43.034626, 'lng': -87.953214}"
"1100 E GARFIELD AV,MKE","1100 E GARFIELD AV, MILWAUKEE, WI","{'lat': 43.059091, 'lng': -87.89717}"
"3056 W MEINECKE AV,MKE","3056 W MEINECKE AV, MILWAUKEE, WI","{'lat': 43.062764, 'lng': -87.952576}"
6155 W HAMPTON,"6155 W HAMPTON, MILWAUKEE, WI","{'lat': 43.104784, 'lng': -87.986355}"
"2947 N DOWNER AV,MKE","2947 N DOWNER AV, MILWAUKEE, WI","{'lat': 43.071988, 'lng': -87.878278}"
"S 43RD ST / W MORGAN AV,MKE","S 43RD ST & W MORGAN AV, MILWAUKEE, WI","{'lat': 42.981178, 'lng': -87.968034}"
"5341 N 54TH ST,MKE","5341 N 54TH ST, MILWAUKEE, WI","{'lat': 43.114822, 'lng': -87.980264}"
"3215 W AUER AV,MKE","3215 W AUER AV, MILWAUKEE, WI","{'lat': 43.07675, 'lng': -87.954298}"
"W CONGRESS ST / W FOND DU LAC AV,MKE","W CONGRESS ST & W FOND DU LAC AV, MILWAUKEE, WI","{'lat': 43.09726, 'lng': -87.986768}"
"N 15TH ST / W CONCORDIA AV,MKE","N 15TH ST & W CONCORDIA AV, MILWAUKEE, WI","{'lat': 43.078987, 'lng': -87.929833}"
"3446 N 36TH ST,MKE","3446 N 36TH ST, MILWAUKEE, WI","{'lat': 43.081782, 'lng': -87.958262}"
"1951 S 11TH ST,MKE","1951 S 11TH ST, MILWAUKEE, WI","{'lat': 43.009066, 'lng': -87.92595}"
"559 W MAPLE ST,MKE","559 W MAPLE ST, MILWAUKEE, WI","{'lat': 43.010884, 'lng': -87.917667}"
"3330 W SILVER SPRING DR,MKE","3330 W SILVER SPRING DR, MILWAUKEE, WI","{'lat': 43.119284, 'lng': -87.954418}"
"S 15TH ST / W OKLAHOMA AV,MKE","S 15TH ST & W OKLAHOMA AV, MILWAUKEE, WI","{'lat': 42.988299, 'lng': -87.931508}"
"N 20TH ST / W OLIVE ST,MKE","N 20TH ST & W OLIVE ST, MILWAUKEE, WI","{'lat': 43.096741, 'lng': -87.937163}"
"1910 N OAKLAND AV,MKE","1910 N OAKLAND AV, MILWAUKEE, WI","{'lat': 43.055965, 'lng': -87.890727}"
"2727 N 25TH ST,MKE","2727 N 25TH ST, MILWAUKEE, WI","{'lat': 43.06852, 'lng': -87.945173}"
"3074 N 25TH ST,MKE","3074 N 25TH ST, MILWAUKEE, WI","{'lat': 43.074943, 'lng': -87.944428}"
"S 5TH ST / W BECHER ST,MKE","S 5TH ST & W BECHER ST, MILWAUKEE, WI","{'lat': 43.006481, 'lng': -87.916887}"
"7177 W APPLETON AV,MKE","7177 W APPLETAV, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"2942 N 2ND ST,MKE","2942 N 2ND ST, MILWAUKEE, WI","{'lat': 43.072168, 'lng': -87.912004}"
"S 18TH ST / W CRAWFORD AV,MKE","S 18TH ST & W CRAWFORD AV, MILWAUKEE, WI","{'lat': 42.975667, 'lng': -87.936388}"
"900 N 26TH ST,MKE","900 N 26TH ST, MILWAUKEE, WI","{'lat': 43.041481, 'lng': -87.946293}"
"4034 N 47TH ST,MKE","4034 N 47TH ST, MILWAUKEE, WI","{'lat': 43.090697, 'lng': -87.971907}"
"3912 S 2ND ST,MKE","3912 S 2ND ST, MILWAUKEE, WI","{'lat': 42.973385, 'lng': -87.912798}"
"2756 N 51ST ST,MKE","2756 N 51ST ST, MILWAUKEE, WI","{'lat': 43.069204, 'lng': -87.977002}"
"1133 N 25TH ST,MKE","1133 N 25TH ST, MILWAUKEE, WI","{'lat': 43.045172, 'lng': -87.945217}"
"3234 N 45TH ST,MKE","3234 N 45TH ST, MILWAUKEE, WI","{'lat': 43.077786, 'lng': -87.969383}"
4409 W FOND DU LAC,"4409 W FOND DU LAC, MILWAUKEE, WI","{'lat': 43.083661, 'lng': -87.968884}"
"711 N MILWAUKEE ST,MKE","711 N MILWAUKEE ST, MILWAUKEE, WI","{'lat': 43.038977, 'lng': -87.906701}"
"275 W WISCONSIN AV,MKE","275 W WISCONSIN AV, MILWAUKEE, WI","{'lat': 43.038258, 'lng': -87.914371}"
"1335 W VLIET ST,MKE","1335 W VLIET ST, MILWAUKEE, WI","{'lat': 43.048261, 'lng': -87.929655}"
"8900 N 96TH ST,MKE","8900 N 96TH ST, MILWAUKEE, WI","{'lat': 43.179354, 'lng': -88.03102}"
"7935 N 64TH CT,MKE","7935 N 64TH CT, MILWAUKEE, WI","{'lat': 43.160904, 'lng': -87.989365}"
"S 12TH ST / W LINCOLN AV,MKE","S 12TH ST & W LINCOLN AV, MILWAUKEE, WI","{'lat': 43.00285, 'lng': -87.927291}"
"3040 N MARYLAND AV,MKE","3040 N MARYLAND AV, MILWAUKEE, WI","{'lat': 43.073703, 'lng': -87.882461}"
"N 60TH ST / W PARKWAY DR,MKE","N 60TH ST & W PARKWAY DR, MILWAUKEE, WI","{'lat': 43.103834, 'lng': -87.98664}"
"1022 S 14TH ST,MKE","1022 S 14TH ST, MILWAUKEE, WI","{'lat': 43.020547, 'lng': -87.929}"
D7 DOWNLOAD,"D7 DOWNLOAD, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"1941 S 10TH ST,MKE","1941 S 10TH ST, MILWAUKEE, WI","{'lat': 43.009248, 'lng': -87.924533}"
"1817 N RIVERWALK WA,MKE","1817 N RIVERWALK WA, MILWAUKEE, WI","{'lat': 43.0533, 'lng': -87.906725}"
"N FRATNEY ST / E AUER AV,MKE","N FRATNEY ST & E AUER AV, MILWAUKEE, WI","{'lat': 43.076555, 'lng': -87.901443}"
"3004 S 15TH ST,MKE","3004 S 15TH ST, MILWAUKEE, WI","{'lat': 42.990003, 'lng': -87.931001}"
"1955 W CORNELL ST,MKE","1955 W CORNELL ST, MILWAUKEE, WI","{'lat': 43.098703, 'lng': -87.936147}"
"4525 N 57TH ST,MKE","4525 N 57TH ST, MILWAUKEE, WI","{'lat': 43.099489, 'lng': -87.984327}"
"5900 S LAKE DR, CUDAHY","5900 S LAKE DR, CUDAHY, MILWAUKEE, WI","{'lat': 43.123815, 'lng': -87.904197}"
"1726 W WASHINGTON ST,MKE","1726 W WASHINGTST, MILWAUKEE, WI","{'lat': 43.020341, 'lng': -87.935127}"
"N 60TH ST / W FOND DU LAC AV,MKE","N 60TH ST & W FOND DU LAC AV, MILWAUKEE, WI","{'lat': 43.098202, 'lng': -87.986751}"
"2600 N 35TH ST,MKE","2600 N 35TH ST, MILWAUKEE, WI","{'lat': 43.066207, 'lng': -87.957014}"
"4424 N 58TH ST,MKE","4424 N 58TH ST, MILWAUKEE, WI","{'lat': 43.097844, 'lng': -87.984987}"
"2952 N 6TH ST,MKE","2952 N 6TH ST, MILWAUKEE, WI","{'lat': 43.072432, 'lng': -87.91788}"
"2520 W GLENDALE AV,MKE","2520 W GLENDALE AV, MILWAUKEE, WI","{'lat': 43.100552, 'lng': -87.943841}"
N WATER ST/E JUNEAU AVE,"N WATER ST&E JUNEAU AVE, MILWAUKEE, WI","{'lat': 43.043361, 'lng': -87.910804}"
3371 N 41,"3371 N 41, MILWAUKEE, WI","{'lat': 43.080782, 'lng': -87.964342}"
"3112 N 38TH ST,MKE","3112 N 38TH ST, MILWAUKEE, WI","{'lat': 43.07553, 'lng': -87.96055}"
"3157 S 6TH ST,MKE","3157 S 6TH ST, MILWAUKEE, WI","{'lat': 42.986967, 'lng': -87.919386}"
"N 19TH ST / W FOND DU LAC AV,MKE","N 19TH ST & W FOND DU LAC AV, MILWAUKEE, WI","{'lat': 43.05898, 'lng': -87.936756}"
"N 76TH ST / W SILVER SPRING DR,MKE","N 76TH ST & W SILVER SPRING DR, MILWAUKEE, WI","{'lat': 43.119524, 'lng': -88.005996}"
"3219 W MADISON ST,MKE","3219 W MADISST, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"2490 S 9TH PL,MKE","2490 S 9TH PL, MILWAUKEE, WI","{'lat': 42.999314, 'lng': -87.923273}"
"2223 S KINNICKINNIC AV,MKE","2223 S KINNICKINNIC AV, MILWAUKEE, WI","{'lat': 43.00395, 'lng': -87.905371}"
"S 27TH ST / W MORGAN AV,MKE","S 27TH ST & W MORGAN AV, MILWAUKEE, WI","{'lat': 42.981263, 'lng': -87.948253}"
"239 E CHAMBERS ST,MKE","239 E CHAMBERS ST, MILWAUKEE, WI","{'lat': 43.072743, 'lng': -87.908164}"
929 N ACTOR,"929 N ACTOR, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"2357 S 16TH ST,MKE","2357 S 16TH ST, MILWAUKEE, WI","{'lat': 43.001673, 'lng': -87.933709}"
"5880 S HOWELL AV,MKE","5880 S HOWELL AV, MILWAUKEE, WI","{'lat': 42.937252, 'lng': -87.905347}"
"601 S 6TH ST,MKE","601 S 6TH ST, MILWAUKEE, WI","{'lat': 43.025121, 'lng': -87.918408}"
"5550 S HOWELL AV,MKE","5550 S HOWELL AV, MILWAUKEE, WI","{'lat': 42.942585, 'lng': -87.909383}"
"1931 S 31ST ST,MKE","1931 S 31ST ST, MILWAUKEE, WI","{'lat': 43.009588, 'lng': -87.953093}"
"2800-BLK W BOBOLINK AV,MKE","2800- W BOBOLINK AV, MILWAUKEE, WI","{'lat': 43.124724, 'lng': -87.947163}"
"S 10TH ST / W WINDLAKE AV,MKE","S 10TH ST & W WINDLAKE AV, MILWAUKEE, WI","{'lat': 43.008293, 'lng': -87.924245}"
"5414 W BLUE MOUND RD,MKE","5414 W BLUE MOUND RD, MILWAUKEE, WI","{'lat': 43.036761, 'lng': -87.981201}"
"4272 N 47TH ST,MKE","4272 N 47TH ST, MILWAUKEE, WI","{'lat': 43.094403, 'lng': -87.971168}"
"3286 N 14TH ST,MKE","3286 N 14TH ST, MILWAUKEE, WI","{'lat': 43.078708, 'lng': -87.928351}"
"720 N PLANKINTON AV,MKE","720 N PLANKINTAV, MILWAUKEE, WI","{'lat': 43.039095, 'lng': -87.910936}"
"10500 W HAMPTON AV,MKE","10500 W HAMPTAV, MILWAUKEE, WI","{'lat': 43.011264, 'lng': -87.958409}"
"2683 S 13TH ST,MKE","2683 S 13TH ST, MILWAUKEE, WI","{'lat': 42.995822, 'lng': -87.928911}"
"2661 S KINNICKINNIC AV,MKE","2661 S KINNICKINNIC AV, MILWAUKEE, WI","{'lat': 42.996332, 'lng': -87.897967}"
"9948 W FOND DU LAC AV,MKE","9948 W FOND DU LAC AV, MILWAUKEE, WI","{'lat': 43.137256, 'lng': -88.036065}"
"N 25TH ST / W CHAMBERS ST,MKE","N 25TH ST & W CHAMBERS ST, MILWAUKEE, WI","{'lat': 43.07336, 'lng': -87.944837}"
"2702 N 39TH ST,MKE","2702 N 39TH ST, MILWAUKEE, WI","{'lat': 43.068036, 'lng': -87.961818}"
"5604 W BLUE MOUND RD,MKE","5604 W BLUE MOUND RD, MILWAUKEE, WI","{'lat': 43.036764, 'lng': -87.983003}"
"S 9TH ST / W GREENFIELD AV,MKE","S 9TH ST & W GREENFIELD AV, MILWAUKEE, WI","{'lat': 43.01704, 'lng': -87.922524}"
"2473 N 37TH ST,MKE","2473 N 37TH ST, MILWAUKEE, WI","{'lat': 43.064034, 'lng': -87.960111}"
"N 22ND ST / W WISCONSIN AV,MKE","N 22ND ST & W WISCONSIN AV, MILWAUKEE, WI","{'lat': 43.038685, 'lng': -87.940511}"
